label id group
1 Citrate 1 Metabolome
2 SDR9C7 2 Transcriptome
3 STARD5 3 Transcriptome
4 ASXL3 4 Transcriptome
5 ENPP2 5 Transcriptome
6 CIART 6 Transcriptome
7 MAPRE1 7 Transcriptome
8 MMRN1 8 Transcriptome
9 ENSSSCG00000010489 9 Transcriptome
10 CYP17A1 10 Transcriptome
11 TM4SF4 11 Transcriptome
12 HCCS 12 Transcriptome
13 ATRX 13 Transcriptome
14 KCNN2 14 Transcriptome
15 SPINK5 15 Transcriptome
16 HBE1 16 Transcriptome
17 COLCA2 17 Transcriptome
18 PTPN14 18 Transcriptome
19 UGT1A3 19 Transcriptome
20 HLF 20 Transcriptome
21 PGBD5 21 Transcriptome
22 YBX1 22 Transcriptome
23 NOL9 23 Transcriptome
24 GJB1 24 Transcriptome
25 FCGR2B 25 Transcriptome
26 SPRY3 26 Transcriptome
27 RHBG 27 Transcriptome
28 LRATD2 28 Transcriptome
29 PDE3B 29 Transcriptome
30 IYD 30 Transcriptome
31 THSD1 31 Transcriptome
32 PMPCA 32 Transcriptome
33 CEMIP2 33 Transcriptome
34 HMGXB4 34 Transcriptome
35 TLDC2 35 Transcriptome
36 NDUFA12 36 Transcriptome
37 SCN3A 37 Transcriptome
38 OLFML2B 38 Transcriptome
39 ABCC5 39 Transcriptome
40 ALPL 40 Transcriptome
41 TMIE 41 Transcriptome
42 ENPP2 42 Transcriptome
43 TBC1D13 43 Transcriptome
44 CD5L 44 Transcriptome
45 ENPP2 45 Transcriptome
46 GCNT2 46 Transcriptome
47 KLK7 47 Transcriptome
48 NR5A2 48 Transcriptome
49 TCF3 49 Transcriptome
50 PSAT1 50 Transcriptome
51 LDB2 51 Transcriptome
52 BBOF1 52 Transcriptome
53 ENSSSCG00000045657 53 Transcriptome
54 CHKA 54 Transcriptome
55 ENSSSCG00000005971 55 Transcriptome
56 AGTRAP 56 Transcriptome
57 UROS 57 Transcriptome
58 ENSSSCG00000050566 58 Transcriptome
59 CRIP3 59 Transcriptome
60 LYPLAL1 60 Transcriptome
61 Glycerophosphocholine 61 Metabolome
62 GuanidinoaceticAcid 62 Metabolome
63 L-Alanine 63 Metabolome
64 L-Cystine 64 Metabolome
65 L-GlutamicAcid 65 Metabolome
66 L-Glycine 66 Metabolome
67 L-Leucine 67 Metabolome
68 L-Valine 68 Metabolome
69 Myo-Inositol 69 Metabolome
70 NicotinuricAcid 70 Metabolome
