label id group
1 3-HydroxyphenylAceticAcid 1 Metabolome
2 AceticAcid 2 Metabolome
3 Adenosine 3 Metabolome
4 CholineChloride 4 Metabolome
5 Creatine 5 Metabolome
6 D-Fructose 6 Metabolome
7 D-GluconicAcid 7 Metabolome
8 D-Sorbitol 8 Metabolome
9 PRR13 9 Transcriptome
10 LRRC23 10 Transcriptome
11 CTSH 11 Transcriptome
12 LONP2 12 Transcriptome
13 IFI44 13 Transcriptome
14 IL33 14 Transcriptome
15 RGP1 15 Transcriptome
16 TXN 16 Transcriptome
17 DRC1 17 Transcriptome
18 MYOZ1 18 Transcriptome
19 ANKRD22 19 Transcriptome
20 CYP17A1 20 Transcriptome
21 SEMA3G 21 Transcriptome
22 NFKBIZ 22 Transcriptome
23 SAT1 23 Transcriptome
24 UTP14A 24 Transcriptome
25 CYP4F22 25 Transcriptome
26 MAFF 26 Transcriptome
27 KMO 27 Transcriptome
28 NEU3 28 Transcriptome
29 SLC6A14 29 Transcriptome
30 HERPUD1 30 Transcriptome
31 ADGRA3 31 Transcriptome
32 CCDC82 32 Transcriptome
33 PRELP 33 Transcriptome
34 GLRB 34 Transcriptome
35 ELL 35 Transcriptome
36 ST3GAL2 36 Transcriptome
37 ANGEL2 37 Transcriptome
38 BTG1 38 Transcriptome
39 ENSSSCG00000038475 39 Transcriptome
40 LAMA1 40 Transcriptome
41 IRF6 41 Transcriptome
42 CSKMT 42 Transcriptome
43 TIMM22 43 Transcriptome
44 MAPK13 44 Transcriptome
45 IGHM 45 Transcriptome
46 LDHA 46 Transcriptome
47 ZCWPW2 47 Transcriptome
48 ENSSSCG00000032383 48 Transcriptome
49 VPS26C 49 Transcriptome
50 ZNF567 50 Transcriptome
51 ARL15 51 Transcriptome
52 ENSSSCG00000034619 52 Transcriptome
53 ENSSSCG00000045657 53 Transcriptome
54 CXCL12 54 Transcriptome
55 S1PR5 55 Transcriptome
56 ENSSSCG00000005971 56 Transcriptome
57 PPA1 57 Transcriptome
58 TXN 58 Transcriptome
59 IFFO1 59 Transcriptome
60 ENSSSCG00000035650 60 Transcriptome
61 ENSSSCG00000049043 61 Transcriptome
62 EPHA5 62 Transcriptome
63 MX1 63 Transcriptome
64 PDHB 64 Transcriptome
65 TMEM100 65 Transcriptome
66 MPC1 66 Transcriptome
67 Formate 67 Metabolome
68 Glycerophosphocholine 68 Metabolome
69 GuanidinoaceticAcid 69 Metabolome
70 Hypoxanthine 70 Metabolome
71 L-Aspartate 71 Metabolome
72 L-Cystine 72 Metabolome
73 L-GlutamicAcid 73 Metabolome
74 L-Isoleucine 74 Metabolome
75 L-Leucine 75 Metabolome
76 L-Methionine 76 Metabolome
77 L-Serine 77 Metabolome
78 L-Valine 78 Metabolome
79 Lactate 79 Metabolome
80 Myo-Inositol 80 Metabolome
81 N-Acetylglycine 81 Metabolome
82 NicotinuricAcid 82 Metabolome
83 Oxypurinol 83 Metabolome
84 PyroglutamicAcid 84 Metabolome
85 S-Acetamidomethylcysteine 85 Metabolome
