label id group
1 2-Deoxyadenosine 1 Metabolome
2 TAMALIN 2 Transcriptome
3 GYS2 3 Transcriptome
4 TPRG1L 4 Transcriptome
5 GEMIN2 5 Transcriptome
6 SYBU 6 Transcriptome
7 PREB 7 Transcriptome
8 COQ2 8 Transcriptome
9 PLAC8 9 Transcriptome
10 GLUD1 10 Transcriptome
11 ENSSSCG00000010489 11 Transcriptome
12 AS3MT 12 Transcriptome
13 MKRN2OS 13 Transcriptome
14 TSPAN18 14 Transcriptome
15 ADM 15 Transcriptome
16 PCDHB4 16 Transcriptome
17 PDE6A 17 Transcriptome
18 CCDC90B 18 Transcriptome
19 ENSSSCG00000016255 19 Transcriptome
20 ENSSSCG00000016548 20 Transcriptome
21 TAOK1 21 Transcriptome
22 PTGER2 22 Transcriptome
23 CDA 23 Transcriptome
24 ARL10 24 Transcriptome
25 TRNP1 25 Transcriptome
26 PELI1 26 Transcriptome
27 GNPTAB 27 Transcriptome
28 TGS1 28 Transcriptome
29 NEU3 29 Transcriptome
30 ZNF706 30 Transcriptome
31 FANCB 31 Transcriptome
32 BPIFC 32 Transcriptome
33 ITGA7 33 Transcriptome
34 ENKUR 34 Transcriptome
35 CRTAP 35 Transcriptome
36 SLC30A9 36 Transcriptome
37 CD55 37 Transcriptome
38 PATJ 38 Transcriptome
39 GOLM1 39 Transcriptome
40 CNTRL 40 Transcriptome
41 ENSSSCG00000032003 41 Transcriptome
42 GINS4 42 Transcriptome
43 TLCD4 43 Transcriptome
44 TFDP2 44 Transcriptome
45 USH1C 45 Transcriptome
46 SGSM2 46 Transcriptome
47 XK 47 Transcriptome
48 GTF2H1 48 Transcriptome
49 COMMD10 49 Transcriptome
50 ENSSSCG00000047456 50 Transcriptome
51 ENSSSCG00000042787 51 Transcriptome
52 ENSSSCG00000042487 52 Transcriptome
53 FBXL12 53 Transcriptome
54 ITGA7 54 Transcriptome
55 CSF3R 55 Transcriptome
56 ENSSSCG00000051276 56 Transcriptome
57 B2M 57 Transcriptome
58 ENSSSCG00000045670 58 Transcriptome
59 ELP1 59 Transcriptome
60 USH1C 60 Transcriptome
61 Glycerophosphocholine 61 Metabolome
62 IMP 62 Metabolome
63 L-Alanine 63 Metabolome
64 L-Aspartate 64 Metabolome
65 L-Glutathione-reduced 65 Metabolome
66 L-Glycine 66 Metabolome
67 Myo-Inositol 67 Metabolome
68 Phosphocholine 68 Metabolome
69 Succinate 69 Metabolome
70 Taurine 70 Metabolome
71 VanillicAcid 71 Metabolome
