label id group
1 2-Oxoglutarate 1 Metabolome
2 Betaine 2 Metabolome
3 Citrate 3 Metabolome
4 Creatine 4 Metabolome
5 D-Fructose 5 Metabolome
6 D-GluconicAcid 6 Metabolome
7 D-Sorbitol 7 Metabolome
8 SDR9C7 8 Transcriptome
9 ASXL3 9 Transcriptome
10 PGM1 10 Transcriptome
11 CIART 11 Transcriptome
12 CLCA2 12 Transcriptome
13 MMRN1 13 Transcriptome
14 NEFL 14 Transcriptome
15 LIMK2 15 Transcriptome
16 MYOZ1 16 Transcriptome
17 CYP17A1 17 Transcriptome
18 TM4SF4 18 Transcriptome
19 ATRX 19 Transcriptome
20 ANGPTL6 20 Transcriptome
21 KCNN2 21 Transcriptome
22 HBE1 22 Transcriptome
23 COLCA2 23 Transcriptome
24 PTPN14 24 Transcriptome
25 RNLS 25 Transcriptome
26 YBX1 26 Transcriptome
27 NOL9 27 Transcriptome
28 CFAP44 28 Transcriptome
29 RHBG 29 Transcriptome
30 PDE3B 30 Transcriptome
31 ABCC5 31 Transcriptome
32 IYD 32 Transcriptome
33 MTMR3 33 Transcriptome
34 PMPCA 34 Transcriptome
35 DZIP1L 35 Transcriptome
36 CEMIP2 36 Transcriptome
37 HMGXB4 37 Transcriptome
38 TLDC2 38 Transcriptome
39 SCN3A 39 Transcriptome
40 ABCC5 40 Transcriptome
41 TMIE 41 Transcriptome
42 FCHSD2 42 Transcriptome
43 ENPP2 43 Transcriptome
44 TBC1D13 44 Transcriptome
45 ACER2 45 Transcriptome
46 ENPP2 46 Transcriptome
47 MVD 47 Transcriptome
48 RDH16 48 Transcriptome
49 P2RX5 49 Transcriptome
50 NR5A2 50 Transcriptome
51 PSAT1 51 Transcriptome
52 ENSSSCG00000051757 52 Transcriptome
53 TTC31 53 Transcriptome
54 CHKA 54 Transcriptome
55 LEPR 55 Transcriptome
56 ENSSSCG00000050836 56 Transcriptome
57 ENSSSCG00000005971 57 Transcriptome
58 AGTRAP 58 Transcriptome
59 UROS 59 Transcriptome
60 CRIP3 60 Transcriptome
61 MPC1 61 Transcriptome
62 Glycerophosphocholine 62 Metabolome
63 Hypoxanthine 63 Metabolome
64 L-Alanine 64 Metabolome
65 L-Asparagine 65 Metabolome
66 L-Aspartate 66 Metabolome
67 L-Carnitine 67 Metabolome
68 L-GlutamicAcid 68 Metabolome
69 L-Glycine 69 Metabolome
70 L-Isoleucine 70 Metabolome
71 L-Leucine 71 Metabolome
72 L-Methionine 72 Metabolome
73 L-Serine 73 Metabolome
74 L-Tyrosine 74 Metabolome
75 L-Valine 75 Metabolome
76 Myo-Inositol 76 Metabolome
77 NicotinuricAcid 77 Metabolome
78 Phosphocholine 78 Metabolome
79 SyringicAcid 79 Metabolome
80 TMAO 80 Metabolome
